"sector","idconcepto","entidad","periodo","saldo","valor"
40,40100001,"040002","200012",130,404155539381.0
40,40100002,"040002","200012",130,41421625341.0
40,40100006,"040002","200012",130,62516525208.00001
40,40100007,"040002","200012",130,40525312757.0
40,40100008,"040002","200012",130,21991212451.0
40,40100009,"040002","200012",130,19125960730.0
40,40100010,"040002","200012",130,6609206714.0
40,40100011,"040002","200012",130,15586146481.999998
40,40100012,"040002","200012",130,8198056260.999999
40,40100013,"040002","200012",130,7163239326.0
40,40100031,"040002","200012",130,-8177970672.999999
40,40100032,"040002","200012",130,-3331408219.0
40,40100033,"040002","200012",130,-693644815.0
40,40100042,"040002","200012",130,244415335183.0
40,40100045,"040002","200012",130,25111100235.0
40,40100046,"040002","200012",130,7748399076.0
40,40100047,"040002","200012",130,16499943715.0
40,40100049,"040002","200012",130,0.0
40,40100050,"040002","200012",130,862757444.0
40,40100051,"040002","200012",130,134558610146.0
40,40100053,"040002","200012",130,37138662762.0
40,40100059,"040002","200012",130,4394713897.0
40,40100060,"040002","200012",130,-3331408219.0
40,40100061,"040002","200012",130,0.0
40,40100079,"040002","200012",130,98058234295.0
40,40100080,"040002","200012",130,103977324976.00002
40,40100085,"040002","200012",130,202035559271.0
40,40100086,"040002","200012",130,42379775911.99999
40,40100087,"040002","200012",130,59086592999.0
40,40100088,"040002","200012",130,1276274398.0
40,40100089,"040002","200012",130,15788160264.0
40,40100090,"040002","200012",130,102695974151.0
40,40100093,"040002","200012",130,3692657569.0
40,40100096,"040002","200012",130,362733914032.0
40,40100097,"040002","200012",130,11929947129.0
40,40100101,"040002","200012",130,404155539373.00006
40,40100118,"040002","200012",130,0.0
40,40100119,"040002","200012",130,0.0
40,40100120,"040002","200012",130,14014180199.0
40,40100122,"040002","200012",130,1206395436.0
40,40100123,"040002","200012",130,0.0
40,40100131,"040002","200012",130,2865251721.0
40,40100167,"040002","200012",130,1105554725.0
40,40100168,"040002","200012",130,-260354185.0
40,40100169,"040002","200012",130,-585055791.0
40,40100170,"040002","200012",130,23784202743.0
40,40100171,"040002","200012",130,1670248378.0
40,40100172,"040002","200012",130,3132179808.0
40,40100173,"040002","200012",130,-494036991.0
40,40100174,"040002","200012",130,7704019270.0
